examples/angular2, 5, -578920, 0
examples/webrx, 105, 1539280, 40
examples/foam, -15, -614616, -7
examples/aurelia, 5, -261424, 0
examples/react-backbone, 5, -323768, 0
examples/ractive, 105, 29936, 0
examples/atmajs, 20, 272112, 0
examples/exoskeleton, 5, -783632, 0
examples/sapui5, 5, -3552, 0
examples/angularjs-perf, -15, -16448, 0
examples/enyo_backbone, 5, 579912, 0
examples/extjs_deftjs, 30, -149264, 0
examples/rappidjs, 5, -186912, 0
examples/dijon, 5, -108624, 0
examples/olives, 5, -91456, 0
examples/puremvc, 5, -107824, 0
examples/kendo, 195, 200856, 5
examples/duel/www, 5, -45576, 0
examples/somajs, 5, 516784, 0
examples/epitome, 3, 24376, 0
examples/sammyjs, 5, -824488, 0
examples/cujo/index.html, 25, 730408, 4
examples/lavaca_require, 1, 603304, 0
examples/durandal, 2, -572656, 0
examples/somajs_require, 5, 373552, 0
examples/thorax_lumbar/public, 170, -11776, 0
examples/canjs_require, 5, 220256, 0
examples/knockoutjs_require, 5, -81016, 0
examples/backbone_require, 2, -37720, 0
examples/chaplin-brunch/public, 2, -350296, 0
examples/thorax, 175, 864968, 0
examples/reagent, -9, 1291264, 0
examples/serenadejs, 5, -171304, 0
examples/typescript-angular, -15, 286208, 0
examples/typescript-backbone, 5, -172400, 0
examples/angular-dart/web, 5, -2549808, 0
examples/elm, 28, -505608, 0
examples/closure, 2, 1190800, 0
examples/vanilladart/build/web, 5, 102488, 0
examples/spine, 5, -117432, 0
examples/troopjs_require, 6, -479824, 0
examples/backbone_marionette, 5, -392648, 0
examples/vue, 3, 143256, 0
examples/ampersand, 5, -372192, 0
examples/mithril, 6, -97520, 0
examples/dojo, 5, -920400, 0
examples/knockoutjs, 5, 1190664, 0
examples/emberjs, 60, -1022576, 0
examples/angularjs, -17, -181112, 0
examples/backbone, 2, 179584, 0
examples/canjs, 5, -182920, 0
examples/react, 5, -440280, 0
examples/flight, 9, -12800, 0
examples/angularjs_require, -15, 872480, 0
