framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1451840, 0
examples/webrx, 105, 1220816, 40
examples/foam, 1, -200944, -2
examples/aurelia, 3, -522640, 0
examples/react-backbone, 4, 1043600, 0
examples/ractive, 105, 95032, 0
examples/atmajs, 17, -274016, 0
examples/exoskeleton, 5, -592400, 0
examples/sapui5, 5, -235032, 0
examples/angularjs-perf, -15, 141808, 0
examples/enyo_backbone, 1, 410144, 0
examples/extjs_deftjs, 30, 129520, 0
examples/rappidjs, 5, 522568, 0
examples/dijon, 4, -32240, 0
examples/olives, 5, -166392, 0
examples/puremvc, 5, 1212392, 0
examples/kendo, 194, 289696, 5
examples/duel/www, 5, 268328, 0
examples/somajs, 5, -115520, 0
examples/epitome, 3, 327136, 0
examples/sammyjs, 6, 97640, 0
examples/cujo/index.html, -13, 562080, -4
examples/lavaca_require, 30, 343688, 0
examples/durandal, 2, 73872, 0
examples/somajs_require, 5, 995992, 0
examples/thorax_lumbar/public, 172, 318080, 0
examples/canjs_require, 5, -245520, 0
examples/knockoutjs_require, 5, 1056344, 0
examples/backbone_require, 2, 954032, 0
examples/chaplin-brunch/public, 5, -147920, 0
examples/thorax, 173, 842296, 0
examples/reagent, 19, 781872, 0
examples/serenadejs, 4, 1001552, 0
examples/typescript-angular, -15, 947536, 0
examples/typescript-backbone, 5, 578784, 0
examples/angular-dart/web, 5, 2505144, 0
examples/elm, 5, -362520, 0
examples/closure, -224, -1616976, 0
examples/vanilladart/build/web, 5, 959856, 0
examples/spine, 5, -287840, 0
examples/troopjs_require, 8, -426920, 0
examples/backbone_marionette, 5, -197208, 0
examples/vue, 3, 1341472, 0
examples/ampersand, 5, 1265640, 0
examples/mithril, 5, 1564768, 0
examples/dojo, 5, -235200, 0
examples/knockoutjs, 5, -407080, 0
examples/emberjs, 61, 275936, 0
examples/angularjs, -15, -577392, 0
examples/backbone, 5, 412456, 0
examples/canjs, 5, -205304, 0
examples/react, 5, 1001368, 0
examples/flight, 10, -923208, 0
examples/angularjs_require, -15, 212144, 0
